,전체 평균,65세이상 전체평균,권역응급의료센터,지역응급의료센터,지역응급의료기관,응급의료시설,전체,월요일,화요일,수요일,목요일,금요일,토요일,일요일,독거노인가구비율(A÷B×100) (%),65세이상 1인가구(A) (가구),전체 일반가구(B) (가구),권역응급의료센터/인구,지역응급의료센터/인구,지역응급의료기관/인구,응급의료시설/인구,권역응급의료센터/65세이상인구,지역응급의료센터/65세이상인구,지역응급의료기관/65세이상인구,응급의료시설/65세이상인구,1월 65세 이상 비율,2월 65세 이상 비율,3월 65세 이상 비율,4월 65세 이상 비율,5월 65세 이상 비율,6월 65세 이상 비율,7월 65세 이상 비율,8월 65세 이상 비율,9월 65세 이상 비율,10월 65세 이상 비율,11월 65세 이상 비율,12월 65세 이상 비율,권역응급의료센터/독거노인,지역응급의료센터/독거노인,지역응급의료기관/독거노인,응급의료시설/독거노인,65세이상 1인가구/65세이상전체,infcd_ptnt_cnt,infcd_ptnt_rate
서울,9479557,1633739,7.0,24,19,16.0,990391,144086,131107,129137,127720,132690,156086,169565,7.5,309072,4098818,7.424399461540125e-07,2.5455083868137574e-06,2.0151941395608915e-06,1.6970055912091717e-06,4.221427119774552e-06,1.4473464410655606e-05,1.1458159325102354e-05,9.648976273770404e-06,0.1689223122502742,0.16959649894604284,0.17035287875660923,0.17080810653777492,0.1714072200711665,0.1719266120943796,0.17253919669540685,0.17352700450463268,0.1736391158898409,0.17446648683644012,0.1751332756021192,0.17587415939888668,3.5471487005274105e-06,1.216165268752255e-05,9.627975044288685e-06,8.107768458348367e-06,0.18638927468042288,100.375,0.00315
부산,3333760,698960,1.0,8,19,7.0,211432,30804,28308,27484,27069,28208,33217,36342,11.1,160609,1447825,3.0140345504808593e-07,2.4112276403846874e-06,5.726665645913632e-06,2.1098241853366012e-06,1.4036821389869907e-06,1.1229457111895926e-05,2.6669960640752823e-05,9.825774972908935e-06,0.2047100010331831,0.2057635248413991,0.20681566404586327,0.2075271225137072,0.2083020412100413,0.2089703204058336,0.20982368173646274,0.21107543755800787,0.21174152918955444,0.21282785407397195,0.21376566285453377,0.21472343821771697,3.2354920536315165e-06,2.5883936429052132e-05,6.14743490189988e-05,2.2648444375420613e-05,0.2254439846605616,19.125,0.0054375
대구,2373829,427496,2.0,4,12,2.0,174313,26003,23424,22989,22400,23680,26677,29140,9.8,99097,1010834,8.461342874343559e-07,1.6922685748687117e-06,5.076805724606135e-06,8.461342874343559e-07,4.5903355076222525e-06,9.180671015244505e-06,2.754201304573351e-05,4.5903355076222525e-06,0.17600293306061016,0.17697319930536162,0.17770681211546846,0.17817405646158432,0.17885862439810896,0.17947287633677514,0.18016275504186816,0.18127765673272803,0.1818936663097855,0.1827854044105842,0.1834906635430304,0.184329508383287,1.2452602282562e-05,2.4905204565124e-05,7.471561369537199e-05,1.2452602282562e-05,0.22744423889942117,8.25,0.008225
인천,2958053,451052,2.0,8,10,3.0,361493,52030,47481,46738,46137,47441,57334,64332,7.7,93707,1212731,6.740102328233548e-07,2.696040931293419e-06,3.3700511641167737e-06,1.0110153492350322e-06,4.3117387086342565e-06,1.7246954834537026e-05,2.1558693543171284e-05,6.467608062951385e-06,0.14870555922893036,0.1495050115588798,0.1503197582957152,0.15080453464984458,0.15135997390333608,0.15193370726253658,0.15251707435705167,0.15356666645292777,0.15414021905363237,0.1549695718454166,0.15559899083249573,0.15631982324755656,2.0182245678476644e-05,8.072898271390658e-05,0.00010091122839238322,3.0273368517714967e-05,0.20202004958499514,47.75,0.0102375
광주,1435511,218315,2.0,4,14,5.0,122758,17033,15409,14804,14597,14867,20496,25552,8.2,50970,623252,1.3975752070158276e-06,2.795150414031655e-06,9.783026449110793e-06,3.4939380175395687e-06,8.9698165672512e-06,1.79396331345024e-05,6.27887159707584e-05,2.2424541418128e-05,0.14868593736560407,0.14931265416324083,0.14992530221493358,0.15036021590684492,0.15090820968069904,0.151488318756453,0.15207537727320566,0.1531835328713041,0.15369304382296617,0.15445282905606458,0.1551490207388155,0.15580867195415954,2.1343122712284035e-05,4.268624542456807e-05,0.00014940185898598823,5.335780678071009e-05,0.22859577521639682,12.125,0.00375
대전,1448466,227581,2.0,3,4,2.0,128558,18796,17181,16861,17014,17502,19808,21396,7.8,50377,646474,1.383056998545024e-06,2.074585497817536e-06,2.766113997090048e-06,1.383056998545024e-06,8.596124007684935e-06,1.2894186011527403e-05,1.719224801536987e-05,8.596124007684935e-06,0.15335374760899403,0.1541531861748395,0.1550180441182657,0.155478280068444,0.15602929880125582,0.1566078730959175,0.15724542909661907,0.15820444125283104,0.1587921211224649,0.1595099190455489,0.16017636784265965,0.16089309522624046,3.9238767902687854e-05,5.885815185403178e-05,7.847753580537571e-05,3.9238767902687854e-05,0.21652346956757199,2.4,0.004919999999999999
울산,1115166,158857,1.0,1,5,6.0,69801,10252,9194,8965,8847,8940,10969,12634,7.5,33966,453998,9.003631164448623e-07,9.003631164448623e-07,4.501815582224311e-06,5.402178698669173e-06,6.104558884575001e-06,6.104558884575001e-06,3.0522794422875e-05,3.662735330745e-05,0.1374819373829275,0.13859980740473413,0.13964096922209998,0.14037006670223165,0.14103227817376365,0.1417620331137522,0.142591228729593,0.1438015623400254,0.14459926397534237,0.14563999327160843,0.14651632983045265,0.14749028283106577,1.9850328522937056e-05,1.9850328522937056e-05,9.925164261468528e-05,0.00011910197113762233,0.20734744707347447,11.0,0.004919999999999999
세종,379891,39028,2.5,1,1,7.6,34530,4897,4592,4586,4376,4560,5388,6131,4.6,7119,154019,6.517358332181933e-06,2.6069433328727735e-06,2.6069433328727735e-06,1.9812769329833078e-05,6.215967577513115e-05,2.4863870310052462e-05,2.4863870310052462e-05,0.0001889654143563987,0.10089295015452338,0.10115861094211197,0.10159132352317544,0.10177526996583781,0.10203511361838984,0.10223163210288916,0.10260469585627309,0.10327732612554039,0.10370360672906985,0.1041417053403722,0.10447527235676778,0.10484865390481007,7.360301477948537e-05,2.9441205911794148e-05,2.9441205911794148e-05,0.0002237531649296355,0.17700589273726347,11.0,0.004919999999999999
경기,13581081,1943199,7.0,30,36,23.0,1314572,190087,172496,168866,167544,173725,207754,234100,6.7,364360,5406963,5.151061501319555e-07,2.2075977862798094e-06,2.649117343535771e-06,1.6924916361478537e-06,3.5126331852507544e-06,1.5054142222503233e-05,1.806497066700388e-05,1.154150903725248e-05,0.13957064278319561,0.1403574633929577,0.1411116699430522,0.1415083347768653,0.14204178979988655,0.14252735929654473,0.14309648973954775,0.14409565346897762,0.14461263825981246,0.14537640097122811,0.14602711076696145,0.14664387738943024,0.0009832841691248771,0.004214075010535188,0.0050568900126422255,0.0032307908414103102,0.18283757533970926,11.0,0.0028625
강원,1538327,342734,3.0,4,15,4.0,172999,25458,23151,22601,22243,23157,27256,29133,12.2,83349,684895,1.952491965495562e-06,2.6033226206607492e-06,9.76245982747781e-06,2.6033226206607492e-06,8.574515396971481e-06,1.1432687195961975e-05,4.2872576984857406e-05,1.1432687195961975e-05,0.21781485188410696,0.21891542255584773,0.22004358572509025,0.2207015031467709,0.2214567204135139,0.22207783432008027,0.22283777444843936,0.22426226653088996,0.2249374917067561,0.22600935772786615,0.22681527240879637,0.22770872464526476,8.233615105939181e-06,1.0978153474585575e-05,4.1168075529695904e-05,1.0978153474585575e-05,0.23822576127405867,11.0,0.004919999999999999
