"sqno","strd_yr","stnmt","agrde_cd","infcd_ptnt_cnt","agrde_rate"
1,"2022","11","20",16,0.1481
2,"2022","11","30",13,0.1204
3,"2022","11","40",29,0.2685
4,"2022","11","50",22,0.2037
5,"2022","11","60",25,0.2315
6,"2022","11","70",3,0.0278
7,"2022","09","10",1,0.0093
8,"2022","09","20",9,0.0833
9,"2022","09","30",28,0.2593
10,"2022","09","40",45,0.4167
41,"2022","05","10",2,0.0185
42,"2022","05","20",42,0.3889
43,"2022","05","30",64,0.5926
44,"2022","05","40",65,0.6019
45,"2022","05","50",81,0.7500
46,"2022","05","60",47,0.4352
47,"2022","05","70",21,0.1944
48,"2022","04","10",2,0.0185
49,"2022","04","20",31,0.2870
50,"2022","04","30",108,1.0000
51,"2022","04","40",112,1.0370
52,"2022","04","50",124,1.1481
53,"2022","04","60",93,0.8611
54,"2022","04","70",15,0.1389
11,"2022","09","50",29,0.2685
12,"2022","09","60",17,0.1574
13,"2022","09","70",7,0.0648
14,"2022","10","20",11,0.1019
15,"2022","10","30",37,0.3426
16,"2022","10","40",25,0.2315
17,"2022","10","50",35,0.3241
18,"2022","10","60",20,0.1852
19,"2022","10","70",9,0.0833
20,"2022","08","10",2,0.0185
21,"2022","08","20",29,0.2685
22,"2022","08","30",52,0.4815
23,"2022","08","40",78,0.7222
24,"2022","08","50",65,0.6019
25,"2022","08","60",57,0.5278
26,"2022","08","70",19,0.1759
27,"2022","08","80",1,0.0093
28,"2022","07","20",22,0.2037
29,"2022","07","30",50,0.4630
30,"2022","07","40",65,0.6019
31,"2022","07","50",74,0.6852
32,"2022","07","60",49,0.4537
33,"2022","07","70",10,0.0926
34,"2022","06","10",3,0.0278
35,"2022","06","20",47,0.4352
36,"2022","06","30",33,0.3056
37,"2022","06","40",32,0.2963
38,"2022","06","50",47,0.4352
39,"2022","06","60",44,0.4074
40,"2022","06","70",6,0.0556
