"행정구역","2022년01월_전체","2022년01월_남자","2022년01월_여자","2022년01월_65세이상전체","2022년01월_65세이상남자","2022년01월_65세이상여자","2022년02월_전체","2022년02월_남자","2022년02월_여자","2022년02월_65세이상전체","2022년02월_65세이상남자","2022년02월_65세이상여자","2022년03월_전체","2022년03월_남자","2022년03월_여자","2022년03월_65세이상전체","2022년03월_65세이상남자","2022년03월_65세이상여자","2022년04월_전체","2022년04월_남자","2022년04월_여자","2022년04월_65세이상전체","2022년04월_65세이상남자","2022년04월_65세이상여자","2022년05월_전체","2022년05월_남자","2022년05월_여자","2022년05월_65세이상전체","2022년05월_65세이상남자","2022년05월_65세이상여자","2022년06월_전체","2022년06월_남자","2022년06월_여자","2022년06월_65세이상전체","2022년06월_65세이상남자","2022년06월_65세이상여자","2022년07월_전체","2022년07월_남자","2022년07월_여자","2022년07월_65세이상전체","2022년07월_65세이상남자","2022년07월_65세이상여자","2022년08월_전체","2022년08월_남자","2022년08월_여자","2022년08월_65세이상전체","2022년08월_65세이상남자","2022년08월_65세이상여자","2022년09월_전체","2022년09월_남자","2022년09월_여자","2022년09월_65세이상전체","2022년09월_65세이상남자","2022년09월_65세이상여자","2022년10월_전체","2022년10월_남자","2022년10월_여자","2022년10월_65세이상전체","2022년10월_65세이상남자","2022년10월_65세이상여자","2022년11월_전체","2022년11월_남자","2022년11월_여자","2022년11월_65세이상전체","2022년11월_65세이상남자","2022년11월_65세이상여자","2022년12월_전체","2022년12월_남자","2022년12월_여자","2022년12월_65세이상전체","2022년12월_65세이상남자","2022년12월_65세이상여자"
"전국  (1000000000)","51,632,473","25,742,528","25,889,945","8,900,662","3,886,134","5,014,528","51,625,561","25,738,197","25,887,364","8,943,147","3,907,156","5,035,991","51,610,695","25,730,584","25,880,111","8,983,296","3,927,308","5,055,988","51,592,660","25,721,053","25,871,607","9,004,388","3,937,993","5,066,395","51,583,722","25,715,591","25,868,131","9,034,042","3,952,240","5,081,802","51,578,178","25,711,784","25,866,394","9,061,298","3,965,646","5,095,652","51,574,446","25,708,650","25,865,796","9,093,629","3,981,525","5,112,104","51,558,441","25,699,579","25,858,862","9,146,396","4,007,705","5,138,691","51,466,658","25,653,998","25,812,660","9,156,753","4,014,264","5,142,489","51,459,626","25,649,509","25,810,117","9,198,480","4,035,067","5,163,413","51,450,829","25,643,889","25,806,940","9,232,214","4,051,747","5,180,467","51,439,038","25,636,951","25,802,087","9,267,290","4,069,199","5,198,091"
"서울특별시  (1100000000)","9,505,926","4,615,631","4,890,295","1,605,763","711,163","894,600","9,508,451","4,615,823","4,892,628","1,612,600","714,152","898,448","9,506,778","4,613,910","4,892,868","1,619,507","717,165","902,342","9,500,480","4,610,082","4,890,398","1,622,759","718,431","904,328","9,496,887","4,607,440","4,889,447","1,627,835","720,583","907,252","9,494,807","4,605,655","4,889,152","1,632,410","722,568","909,842","9,493,211","4,604,405","4,888,806","1,637,951","725,119","912,832","9,488,454","4,601,295","4,887,159","1,646,503","728,940","917,563","9,450,768","4,582,361","4,868,407","1,641,023","726,525","914,498","9,443,722","4,578,459","4,865,263","1,647,613","729,698","917,915","9,436,836","4,574,781","4,862,055","1,652,704","731,862","920,842","9,428,372","4,570,048","4,858,324","1,658,207","734,417","923,790"
"부산광역시  (2600000000)","3,348,874","1,638,207","1,710,667","685,548","299,662","385,886","3,347,396","1,637,111","1,710,285","688,772","301,113","387,659","3,343,504","1,634,958","1,708,546","691,489","302,305","389,184","3,340,214","1,633,170","1,707,044","693,185","303,003","390,182","3,338,167","1,631,825","1,706,342","695,347","303,897","391,450","3,336,737","1,630,944","1,705,793","697,279","304,740","392,539","3,334,595","1,629,643","1,704,952","699,677","305,796","393,881","3,331,444","1,627,821","1,703,623","703,186","307,401","395,785","3,323,826","1,623,784","1,700,042","703,792","307,607","396,185","3,322,286","1,622,749","1,699,537","707,075","309,072","398,003","3,320,276","1,621,486","1,698,790","709,761","310,386","399,375","3,317,812","1,619,915","1,697,897","712,412","311,615","400,797"
"대구광역시  (2700000000)","2,383,858","1,174,667","1,209,191","419,566","179,031","240,535","2,381,095","1,173,039","1,208,056","421,390","179,883","241,507","2,380,494","1,172,632","1,207,862","423,030","180,652","242,378","2,378,573","1,171,451","1,207,122","423,800","180,992","242,808","2,376,676","1,170,309","1,206,367","425,089","181,541","243,548","2,375,306","1,169,571","1,205,735","426,303","182,135","244,168","2,374,120","1,168,845","1,205,275","427,728","182,791","244,937","2,371,936","1,167,564","1,204,372","429,979","183,920","246,059","2,367,735","1,165,326","1,202,409","430,676","184,235","246,441","2,366,852","1,164,728","1,202,124","432,626","185,209","247,417","2,365,619","1,164,024","1,201,595","434,069","185,870","248,199","2,363,691","1,162,865","1,200,826","435,698","186,550","249,148"
"인천광역시  (2800000000)","2,949,150","1,476,663","1,472,487","438,555","193,625","244,930","2,950,978","1,477,432","1,473,546","441,186","194,910","246,276","2,952,699","1,478,272","1,474,427","443,849","196,181","247,668","2,953,260","1,478,514","1,474,746","445,365","196,929","248,436","2,955,167","1,479,428","1,475,739","447,294","197,865","249,429","2,957,066","1,480,432","1,476,634","449,278","198,820","250,458","2,960,580","1,482,177","1,478,403","451,539","199,865","251,674","2,963,117","1,483,370","1,479,747","455,036","201,568","253,468","2,960,097","1,481,896","1,478,201","456,270","202,165","254,105","2,962,388","1,483,026","1,479,362","459,080","203,474","255,606","2,964,820","1,484,103","1,480,717","461,323","204,544","256,779","2,967,314","1,485,175","1,482,139","463,850","205,760","258,090"
"광주광역시  (2900000000)","1,441,636","713,037","728,599","214,351","92,096","122,255","1,440,032","712,199","727,833","215,015","92,368","122,647","1,438,463","711,289","727,174","215,662","92,623","123,039","1,436,916","710,524","726,392","216,055","92,811","123,244","1,436,012","710,062","725,950","216,706","93,115","123,591","1,435,378","709,685","725,693","217,443","93,441","124,002","1,434,703","709,305","725,398","218,183","93,768","124,415","1,434,397","709,090","725,307","219,726","94,492","125,234","1,432,856","708,248","724,608","220,220","94,802","125,418","1,432,651","708,119","724,532","221,277","95,323","125,954","1,432,049","707,815","724,234","222,181","95,728","126,453","1,431,050","707,299","723,751","222,970","96,094","126,876"
"대전광역시  (3000000000)","1,451,272","724,026","727,246","222,558","98,163","124,395","1,450,862","723,812","727,050","223,655","98,717","124,938","1,450,057","723,361","726,696","224,785","99,256","125,529","1,449,360","723,063","726,297","225,344","99,479","125,865","1,448,933","722,840","726,093","226,076","99,829","126,247","1,448,401","722,517","725,884","226,831","100,186","126,645","1,448,182","722,366","725,816","227,720","100,627","127,093","1,448,240","722,486","725,754","229,118","101,290","127,828","1,446,602","721,604","724,998","229,709","101,584","128,125","1,446,863","721,745","725,118","230,789","102,072","128,717","1,446,749","721,609","725,140","231,735","102,530","129,205","1,446,072","721,245","724,827","232,663","102,964","129,699"
"울산광역시  (3100000000)","1,121,100","575,939","545,161","154,131","70,649","83,482","1,119,446","575,165","544,281","155,155","71,115","84,040","1,118,010","574,444","543,566","156,120","71,575","84,545","1,117,204","573,984","543,220","156,822","71,976","84,846","1,116,482","573,619","542,863","157,460","72,328","85,132","1,115,609","573,152","542,457","158,151","72,640","85,511","1,114,753","572,615","542,138","158,954","73,039","85,915","1,113,458","571,867","541,591","160,117","73,578","86,539","1,112,191","571,248","540,943","160,822","73,954","86,868","1,111,707","570,960","540,747","161,909","74,492","87,417","1,111,371","570,756","540,615","162,834","74,910","87,924","1,110,663","570,368","540,295","163,812","75,366","88,446"
"세종특별자치시  (3600000000)","374,377","186,907","187,470","37,772","16,698","21,074","376,399","187,858","188,541","38,076","16,845","21,231","377,296","188,356","188,940","38,330","16,976","21,354","378,196","188,778","189,418","38,491","17,064","21,427","379,340","189,302","190,038","38,706","17,166","21,540","380,215","189,723","190,492","38,870","17,237","21,633","380,889","190,038","190,851","39,081","17,343","21,738","381,439","190,276","191,163","39,394","17,506","21,888","381,925","190,541","191,384","39,607","17,628","21,979","382,258","190,683","191,575","39,809","17,742","22,067","382,770","190,987","191,783","39,990","17,844","22,146","383,591","191,389","192,202","40,219","17,954","22,265"
"경기도  (4100000000)","13,571,450","6,830,317","6,741,133","1,894,176","840,954","1,053,222","13,574,369","6,831,902","6,742,467","1,905,264","846,412","1,058,852","13,575,936","6,832,830","6,743,106","1,915,723","851,727","1,063,996","13,577,808","6,833,859","6,743,949","1,921,373","854,555","1,066,818","13,581,496","6,835,968","6,745,528","1,929,140","858,278","1,070,862","13,585,967","6,838,396","6,747,571","1,936,372","861,767","1,074,605","13,589,362","6,840,138","6,749,224","1,944,590","865,819","1,078,771","13,590,056","6,840,757","6,749,299","1,958,268","872,734","1,085,534","13,574,353","6,832,856","6,741,497","1,963,023","875,264","1,087,759","13,579,508","6,835,151","6,744,357","1,974,140","880,835","1,093,305","13,583,238","6,836,309","6,746,929","1,983,521","885,418","1,098,103","13,589,432","6,839,276","6,750,156","1,992,807","890,053","1,102,754"
